DATE,gdp,rgdp,rgdp_per_capita
2012-01-01,16068.805,17367.01,55342.0
2012-04-01,16207.115,17444.525,55490.0
2012-07-01,16319.541,17469.65,55454.0
2012-10-01,16420.419,17489.852,55403.0
2013-01-01,16648.189,17662.4,55859.0
2013-04-01,16728.687,17709.671,55914.0
2013-07-01,16953.838,17860.45,56272.0
2013-10-01,17192.019,18016.147,56642.0
2014-01-01,17197.738,17953.974,56345.0
2014-04-01,17518.508,18185.911,56968.0
2014-07-01,17804.228,18406.941,57536.0
2014-10-01,17912.079,18500.031,57702.0
2015-01-01,18063.529,18666.621,58121.0
2015-04-01,18279.784,18782.243,58376.0
2015-07-01,18401.626,18857.418,58486.0
2015-10-01,18435.137,18892.206,58470.0
2016-01-01,18525.933,19001.69,58704.0
2016-04-01,18711.702,19062.709,58787.0
2016-07-01,18892.639,19197.938,59084.0
2016-10-01,19089.379,19304.352,59296.0
2017-01-01,19280.084,19398.343,59494.0
2017-04-01,19438.643,19506.949,59736.0
2017-07-01,19692.595,19660.766,60099.0
2017-10-01,20037.088,19882.352,60674.0
2018-01-01,20328.553,20044.077,61093.0
2018-04-01,20580.912,20150.476,61336.0
2018-07-01,20798.73,20276.154,61622.0
2018-10-01,20917.867,20304.874,61619.0
2019-01-01,21104.133,20415.15,61889.0
2019-04-01,21384.775,20584.528,62331.0
2019-07-01,21694.282,20817.581,62945.0
2019-10-01,21902.39,20951.088,63257.0
2020-01-01,21706.513,20665.553,62333.0
2020-04-01,19913.143,19034.83,57386.0
2020-07-01,21647.64,20511.785,61806.0
2020-10-01,22024.502,20724.128,62414.0
2021-01-01,22600.185,20990.541,63227.0
2021-04-01,23292.362,21309.544,64157.0
2021-07-01,23828.973,21483.083,64615.0
2021-10-01,24654.603,21847.602,65651.0
2022-01-01,25029.116,21738.871,65286.0
